1533,0
4638,4
5187,0
5715,10
5784,19
5844,0
6420,0
7053,4
7590,0
8112,10
8181,19
8238,0
8733,8
9120,8
9132,0
9198,6
9627,4
10305,4
10560,0
11118,5
11349,1
12858,0
13047,6
14007,0
14391,3
17265,4
17445,1
17622,3
17925,0
18666,13
19425,13
19629,3
19770,1
20376,10
22020,0
22077,37
22083,37
22221,2
22848,13
23700,-2
25050,19
26646,0
35007,1
35271,5
35301,5
46446,50
46983,0
47589,20
48918,57
49614,8
50973,1
51870,2
52131,5
54177,3
54603,0
55410,4
56793,17
59022,0
59037,0
59205,22
60813,8
61770,10
63915,1
64686,4
66018,1
68265,17
70278,5
70353,62
72078,1
72267,0
73062,14
73083,4
74253,5
74505,0
75765,20
76449,0
76788,27
76950,3
77439,-11
80073,0
80181,0
85146,0
86085,16
86535,0
87255,1
87384,2
87780,2
88716,1
91716,3
92631,2
94644,0
96018,0
100371,0
101223,39
104304,1
106581,1
